id,first_name,surname,area,is_manager,manager_id,salary
441,Ingemar,Sperrett,business,false,76,61
442,Colette,Rappoport,business,false,489,52
443,Zolly,Baptista,technical,false,757,46
444,Salome,Tonry,business,false,234,37
445,Faun,Cubbino,business,false,300,53
446,Odette,Overil,business,true,417,74
447,Artus,Gleave,business,false,196,75
448,Elsy,Pes,technical,false,459,42
449,Viole,Collopy,business,true,870,81
450,Robinson,Gather,technical,false,867,63
451,Johnna,Wilbore,business,false,939,44
452,Eberhard,Bedding,technical,false,646,33
453,Vasili,Owbridge,technical,false,970,67
454,Tandy,Bosher,business,false,715,63
455,Abbi,McDowall,business,false,667,51
456,Lucais,Brickdale,business,false,300,57
457,Barry,Archanbault,business,false,687,67
458,Pembroke,Stieger,business,false,446,55
459,Zita,Natte,technical,true,215,64
460,Freda,Charville,admin,false,296,51
461,Gratiana,Krauze,business,true,316,55
462,Matilde,Haffner,admin,false,380,52
463,Janaye,Elcum,business,true,0,81
464,Trixy,Cona,technical,false,757,50
465,Johannah,Stubbert,business,false,360,74
466,Tami,Ridsdell,business,false,360,51
467,Brigit,Fillon,admin,false,181,41
468,Letta,Farbrother,business,false,144,33
469,Mendy,Eadon,admin,true,280,78
470,Fabe,Leffek,business,false,132,73
471,Jason,Ozanne,admin,false,436,61
472,Gleda,Rawlins,business,false,250,55
473,Warden,Dummett,admin,true,971,69
474,Coleman,Pogson,business,false,430,51
475,Gabriello,Moores,business,false,659,62
476,Opalina,Aspey,business,false,446,51
477,Pietra,Winscomb,business,true,263,73
478,Ammamaria,Rosencwaig,business,true,553,54
479,Paco,Morcom,admin,false,469,58
480,Marieann,Brockherst,technical,false,632,51
481,Agneta,Trudgian,admin,false,59,61
482,Clementius,Corbett,technical,false,187,59
483,Etheline,Carnaman,technical,false,638,51
484,Claybourne,Copping,admin,false,644,46
485,Shelli,Gland,technical,false,506,48
486,Guy,Uphill,business,false,399,37
487,Katerine,Granham,admin,false,103,61
488,Mac,Adkins,admin,false,232,66
489,Constantin,Davidde,business,true,263,72
490,Sloan,Booker,business,false,723,43
491,Hubey,Monteaux,business,false,563,33
492,Waldemar,Bayldon,business,true,417,64
493,Carri,Illsley,business,false,751,72
494,Den,Mungan,business,false,515,51
495,Paul,Okenfold,business,false,544,66
496,Sal,Brickner,business,false,678,52
497,Stephanie,Stote,admin,false,436,67
498,Alyssa,Dunks,business,false,615,63
499,Maribel,Rendall,admin,false,103,51
500,Francesco,Peete,technical,false,638,44
501,Annmaria,Shutt,technical,false,564,54
502,Guillaume,Colaco,business,false,167,72
503,Kittie,Crain,technical,false,690,47
504,Vita,Atherley,admin,false,296,51
505,Merv,Malkinson,business,false,132,42
506,Dodi,McGreary,technical,true,777,65
507,Simmonds,Hulle,business,false,49,54
508,Arman,Kondratowicz,business,false,196,63
509,Glennis,Claricoates,technical,false,970,53
510,Lev,Howselee,business,false,858,75
511,Christina,Pawlaczyk,business,false,987,67
512,Bessy,Spaughton,business,false,131,44
513,Margret,Clubb,business,false,659,56
514,Merridie,Humm,admin,false,103,42
515,Timothy,Carpmile,business,true,681,81
516,Winslow,Noller,business,false,751,50
517,Ninnette,Smyley,technical,false,229,53
518,Gabbie,Cheese,business,false,478,67
519,Lotti,Nursey,business,false,830,69
520,Keven,Durdy,business,false,694,69
521,Charmian,Craker,business,false,167,65
522,Maureen,Dugdale,admin,false,469,53
523,Danette,Hugett,technical,false,561,63
524,Kerri,Truesdale,business,false,478,56
525,Arnie,Punyer,business,false,950,42
526,Torey,Gierardi,business,false,360,61
527,Shanon,McCoveney,business,false,478,59
528,Audra,Beardall,admin,false,72,42
529,Zabrina,Kinner,admin,false,760,36
530,Kelbee,Darque,business,false,751,54
531,Gloriane,Verling,business,false,489,95
532,Leeland,Kingswood,business,false,950,62
533,Alfonso,Giff,technical,false,646,53
534,Shana,Knok,business,false,300,46
535,Mariann,Revel,admin,false,469,51
536,Tine,Japp,business,false,132,52
537,Chad,Scoular,business,true,567,90
538,Jedd,Hilldrup,technical,false,866,67
539,Andee,Ca,business,false,461,72
540,Ashien,Garden,business,false,430,70
541,Killie,Cobbledick,technical,false,669,74
542,Cobby,Ingledow,business,false,882,46
543,Trenton,Reddan,business,false,144,55
544,Stefa,Wallbanks,business,true,553,76
545,Ambrose,Gooderidge,technical,false,428,63
546,Mechelle,McGahy,business,false,80,54
547,Michele,Joannet,business,false,144,46
548,Kyle,Doumenc,business,false,49,59
549,Carlota,Tordiffe,business,false,478,77
550,Dermot,Shailer,admin,false,380,56
551,Margeaux,Breakspear,business,false,586,54
552,Sarajane,Fish,technical,false,561,55
553,Lurlene,Tremaine,business,true,0,47
554,Morton,Pollard,business,false,667,54
555,Daron,Isson,business,false,537,44
556,Tiffie,Cawsy,admin,false,180,37
557,Lorrie,Ramelet,business,false,492,61
558,Sondra,Kondratenya,business,false,461,51
559,Eveline,McCuthais,business,false,790,53
560,Wang,Baukham,business,false,300,33
561,Normie,Habbes,technical,true,130,77
562,Dora,Barens,admin,true,971,61
563,Kip,Oxtoby,business,true,263,55
564,Angie,Frankcombe,technical,true,214,72
565,Gloria,Gathwaite,admin,false,383,33
566,Inga,De Hooge,business,false,68,46
567,Terrijo,Argrave,business,true,0,88
568,Karrah,Mithun,technical,false,866,75
569,Barrett,Gudde,business,false,76,52
570,Correna,Hargey,technical,false,229,46
571,Saloma,Denerley,business,false,537,62
572,Mair,Bolam,business,false,674,36
573,Melva,Serjeant,business,false,873,67
574,Gonzalo,Crabbe,technical,true,215,79
575,Ethelind,Turbern,business,false,515,65
576,Marni,Twallin,admin,false,974,64
577,Chaim,Rottenbury,business,false,619,52
578,Leilah,Bloy,business,false,423,33
579,Reginald,Marton,business,false,420,53
580,Killie,Greally,business,false,615,79
581,Claiborne,Ellar,business,false,736,55
582,Basilius,Fritz,admin,false,380,43
583,Viviene,Boxill,business,false,751,41
584,Alfi,Daburn,business,false,939,47
585,Wilie,Osmar,business,false,882,61
586,Rhiamon,Neles,business,true,899,90
587,Arni,Cant,technical,false,867,47
588,Dynah,Hymer,business,false,723,68
589,Chevalier,Lerven,business,false,80,53
590,Tina,Islep,business,false,667,50
591,Wendie,Ber,business,false,653,56
592,Cirilo,Henrichsen,business,true,0,68
593,Keri,Hartzog,business,false,858,50
594,Jayson,Cranke,technical,false,690,57
595,Inigo,Prosh,technical,false,561,67
596,Gregoire,Jansie,admin,false,436,48
597,Lee,Mayler,business,false,196,52
598,Dalston,Nyles,technical,false,690,62
599,Cointon,Brogden,admin,false,760,57
600,Chastity,Fullager,admin,false,644,56
601,Brandtr,Corbett,business,false,144,47
602,Thaxter,Westnage,business,false,76,58
603,Tarrance,Nequest,admin,false,72,51
604,Milka,Brimfield,business,false,449,59
605,Antoine,Spillman,business,false,749,59
606,Binnie,Allsep,technical,false,286,59
607,Reinald,Simonds,technical,false,690,50
608,Norean,Gallier,technical,false,981,57
609,Willem,Jurkowski,business,false,144,50
610,Ellynn,Le Blanc,business,false,657,76
611,Dewey,Lonie,business,false,478,40
612,Charley,Rasor,business,false,461,43
613,Erich,Deverille,business,false,751,51
614,Flossy,Parsonage,business,true,0,106
615,Augustin,Farman,business,true,263,76
616,Loraine,Ibbitson,admin,false,383,64
617,Flori,Dikles,business,false,619,44
618,Harlene,Burner,technical,false,690,55
619,Libbey,Borsay,business,true,925,73
620,Barbara,Bareford,business,false,858,59
621,Hillie,Hantusch,business,false,615,46
622,Jewel,Studde,business,false,736,56
623,Leonerd,Bootherstone,business,false,492,62
624,Erv,Galpen,technical,false,807,48
625,Janos,Holby,admin,false,974,43
626,Kirk,Bossingham,business,false,223,58
627,Leilah,Rawlin,technical,false,807,58
628,Dom,Raund,admin,false,232,50
629,De,Coultard,business,false,223,57
630,Drusie,Kullmann,technical,false,757,42
631,Boy,Kmicicki,technical,false,506,73
632,Nanine,Isaacson,technical,true,824,62
633,Daniela,Bram,business,false,132,53
634,Robert,Vallentin,business,false,275,56
635,Rowen,Harbisher,business,true,44,57
636,Minta,Kington,admin,false,469,58
637,Kurtis,Cridland,business,false,882,47
638,Marris,Hablet,technical,true,214,67
639,Caitrin,Taphouse,business,false,687,68
640,Evyn,Topes,technical,false,229,81
641,Randa,Tibbles,admin,true,971,72
642,Lindy,Lanceter,business,false,196,67
643,Cirilo,Alp,business,false,80,63
644,Pavla,Gonoude,admin,true,971,72
645,Malvin,Heers,business,false,68,42
646,Clay,Mickleburgh,technical,true,130,70
647,Gipsy,Scolland,business,false,362,33
648,Burton,Petticrow,technical,false,561,57
649,Barrie,Gormley,business,false,820,57
650,Delinda,Vannini,business,false,723,47
651,Myrna,Klainer,admin,false,181,50
652,Rad,Keasey,admin,false,296,48
653,Steffane,Pierton,business,true,899,62
654,Ravi,Slowley,business,false,678,74
655,Jorgan,Henze,technical,false,632,51
656,Layla,Cassel,technical,false,574,43
657,Abbie,Dyble,business,true,553,54
658,Juan,Daber,technical,false,981,44
659,Brandtr,Enoch,business,true,553,100
660,Bartolemo,Butterfield,technical,true,130,78
661,Lee,Minty,business,false,759,48
662,Kizzee,Anthoine,admin,false,760,70
663,Cindy,Kears,technical,false,638,54
664,Sibbie,Gusticke,business,false,882,40
665,Fredericka,Albury,business,false,167,58
666,Sherwynd,Di Dello,business,false,144,55
667,Berry,Lamperd,business,true,44,87
668,Tracy,Abbess,business,false,360,50
669,Siegfried,Wildblood,technical,true,274,76
670,Kylila,Deek,business,false,223,48
671,Garnet,Labat,business,false,873,58
672,Tani,Catcheside,technical,false,187,56
673,Maighdiln,Robardley,business,false,400,62
674,Gordon,Lode,business,true,44,54
